region_text,avg_price,avg_price_per_m2,count
Медеуский р-н,106347126.53828073,984316.3617705834,2978
Бостандыкский р-н,82824946.1511492,959483.9134918642,7701
Алматы,57516970.27457627,796614.5879277125,590
Алмалинский р-н,52837886.78897796,828715.7226178441,4990
Ауэзовский р-н,44178920.63723948,723461.284634718,5086
Наурызбайский р-н,41633771.67074702,647574.5094216508,3186
Алматинская обл.,40966350.925925925,470929.53781938774,27
Алатауский р-н,33219649.4101467,609353.0659063903,3272
Жетысуский р-н,32817734.16161616,609505.2660819832,1584
Турксибский р-н,31639026.151312117,590123.9221372188,1791
